uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
R5pQvqYe,30.96,40,4,2,3,3,233,8,Other
dmyRVrny,55.95,37,5,2,4,4,244,10,Almost Lost
Mx13fmRs,62.89000000000001,25,11,4,4,4,444,12,Champions
G66j4SPk,143.91,29,9,3,4,4,344,11,Other
4QXCmtlc,7.98,40,2,2,2,2,222,6,Other
yBwOy5ol,9.98,42,2,1,2,2,122,5,Other
jnYk3isW,103.96000000000001,24,4,4,4,3,434,11,Other
LWHVXEbx,347.78000000000003,26,22,3,4,4,344,11,Other
cIjCWnYV,20.979999999999997,35,2,2,3,2,223,7,Other
wvTgNhTy,75.89,26,11,3,4,4,344,11,Other
HkyinOsp,25.96,23,4,4,3,3,433,10,Recent Customer
FOTrTR7S,33.959999999999994,31,4,3,3,3,333,9,Other
PiiCHrPj,25.96,22,4,4,3,3,433,10,Recent Customer
if4UNusL,11.97,37,3,2,2,3,232,7,Other
31lck8lT,47.93000000000001,24,7,4,4,4,444,12,Champions
HK1qnjhy,8.99,43,1,1,2,1,112,4,Other
sPyPdM8X,11.97,42,3,1,2,3,132,6,Other
21Te6w6N,9.96,29,4,3,2,3,332,8,Other
YRfdhN2V,0.99,43,1,1,1,1,111,3,Lost Cheap Customers
ylwdEDn1,12.96,22,4,4,2,3,432,9,Recent Customer
ob6p4CdY,34.99,43,1,1,3,1,113,5,Other
WhoCDFE8,3.99,43,1,1,1,1,111,3,Lost Cheap Customers
8m8P1CVS,17.979999999999997,42,2,1,3,2,123,6,Other
pfS51hLP,10.97,27,3,3,2,3,332,8,Other
4yKTm4sc,19.94,24,6,4,3,4,443,11,Other
biQ5mxmL,25.979999999999997,32,2,3,3,2,323,8,Other
5vDWeGyf,22.92,22,8,4,3,4,443,11,Other
TCLYWml5,3.99,42,1,1,1,1,111,3,Lost Cheap Customers
BVlPIvkl,43.959999999999994,29,4,3,4,3,334,10,Big Spenders
HoSOVWPd,100.81,33,19,2,4,4,244,10,Almost Lost
2yoMnOEI,9.98,39,2,2,2,2,222,6,Other
hqfg1G51,0.99,42,1,1,1,1,111,3,Lost Cheap Customers
Xheiy6QE,26.950000000000003,27,5,3,3,4,343,10,Loyal Customers
883Tcc7G,16.99,42,1,1,2,1,112,4,Other
hdOdFgEw,16.99,42,1,1,2,1,112,4,Other
JSocLjuG,34.99,42,1,1,3,1,113,5,Other
PbQRTICi,60.95,38,5,2,4,4,244,10,Almost Lost
MJXi7myK,10.97,41,3,1,2,3,132,6,Other
Ymuu6QJl,13.97,25,3,4,2,3,432,9,Recent Customer
sHMGvQC2,28.95,41,5,1,3,4,143,8,Loyal Customers
fGgQ7dtT,1.98,37,2,2,1,2,221,5,Other
wbokiooP,34.97,22,3,4,3,3,433,10,Recent Customer
KsjPTCoR,3.99,42,1,1,1,1,111,3,Lost Cheap Customers
QJKglToO,34.95,23,5,4,3,4,443,11,Other
ePOi65DR,12.98,42,2,1,2,2,122,5,Other
4mHSMbxM,25.96,22,4,4,3,3,433,10,Recent Customer
wslTYp4k,17.98,26,2,3,3,2,323,8,Other
BwwmdK2k,0.99,42,1,1,1,1,111,3,Lost Cheap Customers
PNgkvrvg,1.98,41,2,1,1,2,121,4,Other
TJ21qSVW,3.99,42,1,1,1,1,111,3,Lost Cheap Customers
enKXMXpD,30.929999999999996,23,7,4,3,4,443,11,Other
72PXivdB,18.97,24,3,4,3,3,433,10,Recent Customer
qNRLJSyd,52.97,42,3,1,4,3,134,8,Big Spenders
kr2GD6Su,43.96,26,4,3,4,3,334,10,Big Spenders
fxUXpTIB,52.94999999999999,39,5,2,4,4,244,10,Almost Lost
oEKIgtD3,34.99,42,1,1,3,1,113,5,Other
McYWlRHH,159.9,40,10,2,4,4,244,10,Almost Lost
MOBGtsDE,155.95,35,5,2,4,4,244,10,Almost Lost
pMDkoDml,26.950000000000003,22,5,4,3,4,443,11,Other
LeVPMT8X,69.91,26,9,3,4,4,344,11,Other
Qtl7HxVn,182.87000000000003,25,13,4,4,4,444,12,Champions
vmq5oeJo,17.979999999999997,42,2,1,3,2,123,6,Other
r5gTEEwd,2.9699999999999998,41,3,1,1,3,131,5,Other
GowYceKi,51.980000000000004,42,2,1,4,2,124,7,Big Spenders
nnu6RNBR,138.90999999999997,35,9,2,4,4,244,10,Almost Lost
iVgBiwCd,16.99,42,1,1,2,1,112,4,Other
5rcOLvWk,1.98,36,2,2,1,2,221,5,Other
sMXw2kmU,55.93000000000001,25,7,4,4,4,444,12,Champions
2UO2v2WY,275.7200000000001,26,28,3,4,4,344,11,Other
gtmX4kC2,8.97,41,3,1,2,3,132,6,Other
IpEWd7SP,8.99,42,1,1,2,1,112,4,Other
Hd3ENnWD,68.93,27,7,3,4,4,344,11,Other
c6X1fUNL,3.99,42,1,1,1,1,111,3,Lost Cheap Customers
ugShPTNt,30.96,40,4,2,3,3,233,8,Other
TBh13oh8,8.99,41,1,1,2,1,112,4,Other
JC33Old1,13.97,41,3,1,2,3,132,6,Other
hwR1vqgf,38.980000000000004,40,2,2,4,2,224,8,Big Spenders
nVLcmlb3,8.99,41,1,1,2,1,112,4,Other
X33DDRs5,13.950000000000001,37,5,2,2,4,242,8,Loyal Customers
GOR2LYnC,0.99,41,1,1,1,1,111,3,Lost Cheap Customers
ipqNH8CM,246.92000000000002,28,8,3,4,4,344,11,Other
N1RcyP75,16.97,41,3,1,2,3,132,6,Other
jVhWoivg,23.950000000000003,26,5,3,3,4,343,10,Loyal Customers
UH64ES25,0.99,41,1,1,1,1,111,3,Lost Cheap Customers
XtQqk8kX,21.969999999999995,22,3,4,3,3,433,10,Recent Customer
7XljlxFw,8.97,35,3,2,2,3,232,7,Other
K32bYPyQ,269.94,28,6,3,4,4,344,11,Other
G4bhLrNU,42.94999999999999,39,5,2,4,4,244,10,Almost Lost
kgJ5GjLE,8.99,41,1,1,2,1,112,4,Other
Gb6fbNI5,8.99,41,1,1,2,1,112,4,Other
vFgntHtb,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
8YKuV4yK,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
fpSRXUED,17.98,41,2,1,3,2,123,6,Other
2MgPIq6G,6.960000000000001,33,4,2,2,3,232,7,Other
7l4OKBmp,1.98,30,2,3,1,2,321,6,Other
bVHG2W1c,0.99,41,1,1,1,1,111,3,Lost Cheap Customers
41X1G2st,82.83,22,17,4,4,4,444,12,Champions
BIUjeOq6,5.970000000000001,22,3,4,2,3,432,9,Recent Customer
il7O7dIR,167.66000000000003,22,34,4,4,4,444,12,Champions
NXtNQ2u3,3.96,39,4,2,1,3,231,6,Other
poPgm4RQ,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
yERUbbYJ,7.98,41,2,1,2,2,122,5,Other
iBUU8Mdn,8.99,41,1,1,2,1,112,4,Other
jlykgQUn,100.96999999999998,33,3,2,4,3,234,9,Big Spenders
DrHPGCl7,10.97,23,3,4,2,3,432,9,Recent Customer
81rHvlV2,9.96,22,4,4,2,3,432,9,Recent Customer
Inv2Bejq,43.94,25,6,4,4,4,444,12,Champions
Xs4eBsxG,24.97,40,3,2,3,3,233,8,Other
oLqt7EgD,8.99,41,1,1,2,1,112,4,Other
tqQ1hdVg,118.85999999999999,24,14,4,4,4,444,12,Champions
jQKqPEV1,80.91,23,9,4,4,4,444,12,Champions
3JsmTNos,1.98,38,2,2,1,2,221,5,Other
JcY5eKYH,256.89,22,11,4,4,4,444,12,Champions
ivemJhjX,16.99,41,1,1,2,1,112,4,Other
JFCsis8E,0.99,41,1,1,1,1,111,3,Lost Cheap Customers
lco4esgw,99.97999999999999,29,2,3,4,2,324,9,Big Spenders
fxicvO2x,5.970000000000001,41,3,1,2,3,132,6,Other
OqGi6VtQ,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
oyqoDVWt,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
KpVJxQ5R,113.96000000000001,25,4,4,4,3,434,11,Other
34sEOqvT,38.92,22,8,4,4,4,444,12,Champions
rCYhl6gP,33.93,31,7,3,3,4,343,10,Loyal Customers
yOKHGRlB,25.979999999999997,40,2,2,3,2,223,7,Other
PwqQ482M,16.97,36,3,2,2,3,232,7,Other
m1WTNLSb,398.91,28,9,3,4,4,344,11,Other
hIhmJnFf,8.99,41,1,1,2,1,112,4,Other
6tPxIuJE,3.99,41,1,1,1,1,111,3,Lost Cheap Customers
bSLeOyFQ,16.97,24,3,4,2,3,432,9,Recent Customer
IVrRQkLq,8.99,41,1,1,2,1,112,4,Other
6vBBgkW8,16.99,41,1,1,2,1,112,4,Other
oWVhNj3O,1.98,41,2,1,1,2,121,4,Other
WSQPGunT,13.97,40,3,2,2,3,232,7,Other
KjPk2BdR,139.93,28,7,3,4,4,344,11,Other
tDVjo3KN,99.84999999999998,32,15,3,4,4,344,11,Other
4eygqv63,54.84,33,16,2,4,4,244,10,Almost Lost
PxcEBM4q,9.98,35,2,2,2,2,222,6,Other
C548yGWL,16.99,40,1,2,2,1,212,5,Other
QJ4U8ySW,33.98,29,2,3,3,2,323,8,Other
3TjeDsPB,807.7800000000001,23,22,4,4,4,444,12,Champions
JMqGCqrM,102.92999999999999,38,7,2,4,4,244,10,Almost Lost
B8UgBTQ6,112.92999999999999,27,7,3,4,4,344,11,Other
vWPiOTl4,20.96,25,4,4,3,3,433,10,Recent Customer
sviyvEvg,34.92,32,8,3,3,4,343,10,Loyal Customers
E5TeHTWe,34.99,40,1,2,3,1,213,6,Other
MDXqB1Et,43.980000000000004,40,2,2,4,2,224,8,Big Spenders
U3jRS7nI,17.98,33,2,2,3,2,223,7,Other
JiBTIuDT,14.930000000000001,38,7,2,2,4,242,8,Loyal Customers
Dl5bYTxi,16.99,40,1,2,2,1,212,5,Other
emw3hQYl,52.97,34,3,2,4,3,234,9,Big Spenders
WD7OuwwD,24.97,40,3,2,3,3,233,8,Other
tISTfIOG,1.98,39,2,2,1,2,221,5,Other
PlVYeGQy,42.97,35,3,2,4,3,234,9,Big Spenders
ex8iTmFW,25.979999999999997,39,2,2,3,2,223,7,Other
FF6Xctdr,0.99,40,1,2,1,1,211,4,Other
BSPRv2S1,0.99,40,1,2,1,1,211,4,Other
NDSY5xVh,0.99,40,1,2,1,1,211,4,Other
SppXrJxx,8.99,40,1,2,2,1,212,5,Other
eCbDGEQD,454.8500000000001,35,15,2,4,4,244,10,Almost Lost
FOfE1GKD,35.96,38,4,2,3,3,233,8,Other
2gQIe3iK,63.910000000000004,33,9,2,4,4,244,10,Almost Lost
rReqivBE,0.99,40,1,2,1,1,211,4,Other
smNmwNYW,219.87000000000003,29,13,3,4,4,344,11,Other
vh2ndU7q,34.99,40,1,2,3,1,213,6,Other
iyltDrki,1.98,40,2,2,1,2,221,5,Other
xYU6kSBs,0.99,40,1,2,1,1,211,4,Other
yrqySCNG,0.99,40,1,2,1,1,211,4,Other
Vb6W65Jp,8.99,40,1,2,2,1,212,5,Other
BxGvSQTS,1.98,40,2,2,1,2,221,5,Other
IPYxSQlM,3.99,39,1,2,1,1,211,4,Other
hDDophMT,0.99,39,1,2,1,1,211,4,Other
mhkHUvo1,2.9699999999999998,39,3,2,1,3,231,6,Other
wiSe74Ce,7.98,39,2,2,2,2,222,6,Other
edrKsPYP,24.909999999999986,24,9,4,3,4,443,11,Other
pG5CbgsJ,0.99,39,1,2,1,1,211,4,Other
uTFTG4Np,30.940000000000005,33,6,2,3,4,243,9,Loyal Customers
7gjdCHsp,34.97,35,3,2,3,3,233,8,Other
CcRVebL6,17.98,39,2,2,3,2,223,7,Other
EWlleWCv,8.99,39,1,2,2,1,212,5,Other
5Io8dlnl,346.93,23,7,4,4,4,444,12,Champions
4jykJvRX,235.91000000000003,24,9,4,4,4,444,12,Champions
v1btyQ2d,7.98,39,2,2,2,2,222,6,Other
7hTIOSOm,7.98,36,2,2,2,2,222,6,Other
7CvjlNKo,16.99,39,1,2,2,1,212,5,Other
vv7r18QP,38.96,25,4,4,4,3,434,11,Other
dcOhBkuW,34.99,39,1,2,3,1,213,6,Other
TwyKw4tC,1.98,39,2,2,1,2,221,5,Other
kDE5W4Ft,14.96,32,4,3,2,3,332,8,Other
TflgU7UE,4.98,36,2,2,1,2,221,5,Other
lNWnr8gb,22.92,25,8,4,3,4,443,11,Other
7qkslMir,26.97,36,3,2,3,3,233,8,Other
pemqI5Ms,30.959999999999997,26,4,3,3,3,333,9,Other
TpILwpPj,43.980000000000004,34,2,2,4,2,224,8,Big Spenders
ghw4Xhge,9.96,32,4,3,2,3,332,8,Other
nShFkNMv,38.940000000000005,23,6,4,4,4,444,12,Champions
p66Pg3Io,7.98,37,2,2,2,2,222,6,Other
QTXIk64E,39.95,26,5,3,4,4,344,11,Other
eCsHEc68,17.98,30,2,3,3,2,323,8,Other
ljspcJ4I,39.95,34,5,2,4,4,244,10,Almost Lost
LNLCHUQS,57.93000000000001,26,7,3,4,4,344,11,Other
sjSErvxO,339.7200000000001,25,28,4,4,4,444,12,Champions
GcNoVTlv,121.94000000000001,33,6,2,4,4,244,10,Almost Lost
GTQNlIRs,403.90000000000003,24,10,4,4,4,444,12,Champions
lHwJFE6D,129.98,33,2,2,4,2,224,8,Big Spenders
g6eXDo2T,12.98,35,2,2,2,2,222,6,Other
PLyNtVdo,2.9699999999999998,38,3,2,1,3,231,6,Other
DC5Uv3Xl,16.97,32,3,3,2,3,332,8,Other
5DeMiME4,8.99,38,1,2,2,1,212,5,Other
rhiPcmPG,7.98,36,2,2,2,2,222,6,Other
51eYWBmf,68.97,28,3,3,4,3,334,10,Big Spenders
LWeWklBG,35.92,27,8,3,3,4,343,10,Loyal Customers
Xc21r7bk,0.99,38,1,2,1,1,211,4,Other
yKMfveSN,304.5000000000001,24,50,4,4,4,444,12,Champions
dR5PSOuh,12.98,38,2,2,2,2,222,6,Other
JW7dxkuu,12.96,34,4,2,2,3,232,7,Other
muHwXHdc,8.97,37,3,2,2,3,232,7,Other
JyuBUHtL,15.900000000000002,28,10,3,2,4,342,9,Loyal Customers
2DRO13q1,9.98,38,2,2,2,2,222,6,Other
bb6pN8pN,346.86000000000007,23,14,4,4,4,444,12,Champions
d5WfFrMk,48.88000000000001,37,12,2,4,4,244,10,Almost Lost
Fp7O4UWU,21.939999999999994,36,6,2,3,4,243,9,Loyal Customers
qiOhewIo,3.99,38,1,2,1,1,211,4,Other
KcPKuNr6,7.98,37,2,2,2,2,222,6,Other
iIeJXo2D,1.98,35,2,2,1,2,221,5,Other
n8Wk5xdL,52.97,32,3,3,4,3,334,10,Big Spenders
gStQS23r,99.97999999999999,33,2,2,4,2,224,8,Big Spenders
SKG8MWjo,574.87,33,13,2,4,4,244,10,Almost Lost
hEfWjpQh,5.970000000000001,37,3,2,2,3,232,7,Other
oRD4nNeQ,13.97,25,3,4,2,3,432,9,Recent Customer
tMQInrkQ,8.99,38,1,2,2,1,212,5,Other
tueSFHGo,60.94999999999999,27,5,3,4,4,344,11,Other
fIIyLNoC,33.98,30,2,3,3,2,323,8,Other
EgKQve4K,3.99,38,1,2,1,1,211,4,Other
ySDmGBjE,2.9699999999999998,36,3,2,1,3,231,6,Other
PF66i54n,8.97,37,3,2,2,3,232,7,Other
hHmEkNhN,36.910000000000004,25,9,4,3,4,443,11,Other
mkDpDuKP,3.99,37,1,2,1,1,211,4,Other
s3tMQSTx,16.97,36,3,2,2,3,232,7,Other
7VN3NnXJ,56.94,29,6,3,4,4,344,11,Other
bkcOdSet,40.92,23,8,4,4,4,444,12,Champions
bObUUn7T,0.99,37,1,2,1,1,211,4,Other
fGRYrSsy,10.97,34,3,2,2,3,232,7,Other
TEQ87jOv,29.97,34,3,2,3,3,233,8,Other
6oewxeJ6,0.99,37,1,2,1,1,211,4,Other
EyfQ2cnd,17.98,35,2,2,3,2,223,7,Other
udGhNBc2,12.98,33,2,2,2,2,222,6,Other
5cIgTPb7,12.98,31,2,3,2,2,322,7,Other
ilSfFXpc,129.98,37,2,2,4,2,224,8,Big Spenders
pSqPk5GY,169.96,24,4,4,4,3,434,11,Other
ROBsI4NO,4.98,37,2,2,1,2,221,5,Other
4qQ6td1q,3.99,37,1,2,1,1,211,4,Other
3WnETBX4,17.98,36,2,2,3,2,223,7,Other
b5ML1B2S,16.99,37,1,2,2,1,212,5,Other
F8HMvGMK,25.979999999999997,34,2,2,3,2,223,7,Other
1qtBuICD,17.98,37,2,2,3,2,223,7,Other
xe4LFLg8,17.96,36,4,2,3,3,233,8,Other
3VMEvNBo,42.97,33,3,2,4,3,234,9,Big Spenders
6JJpncTb,27.96,35,4,2,3,3,233,8,Other
74YMUiFK,1.98,37,2,2,1,2,221,5,Other
KQg6O8Q1,9.98,33,2,2,2,2,222,6,Other
XJdtuvb3,42.97,25,3,4,4,3,434,11,Other
1kU3XQeV,20.939999999999998,28,6,3,3,4,343,10,Loyal Customers
Bkkc1N7J,355.88000000000005,25,12,4,4,4,444,12,Champions
L1wh6PU4,3.99,37,1,2,1,1,211,4,Other
MJK36IPy,198.89000000000001,28,11,3,4,4,344,11,Other
yIGPSm8c,34.99,37,1,2,3,1,213,6,Other
Ck6mYvRM,16.99,37,1,2,2,1,212,5,Other
RHoDOCjj,25.96,35,4,2,3,3,233,8,Other
F6CdHFCb,2.9699999999999998,36,3,2,1,3,231,6,Other
mTgkV7k3,17.98,32,2,3,3,2,323,8,Other
vvcJV1Pj,81.92999999999998,24,7,4,4,4,444,12,Champions
4Dm1JdVr,3.99,37,1,2,1,1,211,4,Other
yi7E2xu3,8.99,37,1,2,2,1,212,5,Other
s4Eukw1L,3.99,37,1,2,1,1,211,4,Other
PryMTiYe,4.98,36,2,2,1,2,221,5,Other
dbbDfs6n,0.99,36,1,2,1,1,211,4,Other
ThqxidhP,68.94999999999999,26,5,3,4,4,344,11,Other
5iRmk8SJ,18.969999999999995,35,3,2,3,3,233,8,Other
Qx2dGiWT,143.87,30,13,3,4,4,344,11,Other
gc6NwCrL,5.970000000000001,32,3,3,2,3,332,8,Other
CfLfecuF,0.99,36,1,2,1,1,211,4,Other
U3EDykdW,8.97,32,3,3,2,3,332,8,Other
bW6IRdkr,3.99,36,1,2,1,1,211,4,Other
emtNWmDX,168.95999999999998,35,4,2,4,3,234,9,Big Spenders
rXIvBiMq,12.98,35,2,2,2,2,222,6,Other
bdE7Gv2J,8.99,36,1,2,2,1,212,5,Other
DqB8kYNg,8.99,36,1,2,2,1,212,5,Other
kwdTBfTi,8.99,36,1,2,2,1,212,5,Other
epmrKsQX,37.97,26,3,3,4,3,334,10,Big Spenders
isdipQ3b,7.98,36,2,2,2,2,222,6,Other
hMcgMvv8,7.98,36,2,2,2,2,222,6,Other
6HQ5yxxp,3.99,36,1,2,1,1,211,4,Other
MwncuhIH,12.98,36,2,2,2,2,222,6,Other
ebOMLIfy,0.99,36,1,2,1,1,211,4,Other
85C4Yxmh,2.9699999999999998,35,3,2,1,3,231,6,Other
7umsoh3l,3.99,36,1,2,1,1,211,4,Other
QGBUyKNW,12.98,35,2,2,2,2,222,6,Other
jMSggQ48,3.99,36,1,2,1,1,211,4,Other
R1sQgGsx,10.97,36,3,2,2,3,232,7,Other
Hxf4mmtM,8.97,28,3,3,2,3,332,8,Other
WBIqeYrS,126.85999999999999,25,14,4,4,4,444,12,Champions
QX6kxTRQ,16.99,36,1,2,2,1,212,5,Other
7FPdhtQW,178.89,31,11,3,4,4,344,11,Other
1jkyUXff,160.88000000000002,32,12,3,4,4,344,11,Other
mesCSWqw,1.98,36,2,2,1,2,221,5,Other
vgr1QL66,67.96,25,4,4,4,3,434,11,Other
fbg5WX6s,0.99,36,1,2,1,1,211,4,Other
fIsvLxji,0.99,36,1,2,1,1,211,4,Other
JnBYkudq,1.98,36,2,2,1,2,221,5,Other
VtlQCkS1,34.870000000000005,24,13,4,3,4,443,11,Other
m2BjVseM,5.970000000000001,36,3,2,2,3,232,7,Other
lo5mhEnS,11.97,34,3,2,2,3,232,7,Other
RX3pksPl,0.99,36,1,2,1,1,211,4,Other
8MYqCVhx,9.96,26,4,3,2,3,332,8,Other
iDJTO5uR,0.99,36,1,2,1,1,211,4,Other
mINL1PNt,36.949999999999996,25,5,4,3,4,443,11,Other
obniQ1fs,1.98,34,2,2,1,2,221,5,Other
wUuf5cjp,34.97,23,3,4,3,3,433,10,Recent Customer
VcQdhgCr,8.99,35,1,2,2,1,212,5,Other
lrPQtXw6,12.96,22,4,4,2,3,432,9,Recent Customer
vlJ7FvlN,3.96,23,4,4,1,3,431,8,Recent Customer
oIjlUDoL,16.99,35,1,2,2,1,212,5,Other
FKuGYTwE,386.91,22,9,4,4,4,444,12,Champions
uBsjNorv,17.98,33,2,2,3,2,223,7,Other
Q72E3cWv,17.98,34,2,2,3,2,223,7,Other
KrFrSRJN,8.99,35,1,2,2,1,212,5,Other
cLleGRSb,12.98,35,2,2,2,2,222,6,Other
nrCLlvHB,12.98,35,2,2,2,2,222,6,Other
ifPDCtvk,44.970000000000006,34,3,2,4,3,234,9,Big Spenders
lP2t35Sx,6.960000000000001,35,4,2,2,3,232,7,Other
qLhM7IrR,65.91,25,9,4,4,4,444,12,Champions
CBqvNgh2,134.97,29,3,3,4,3,334,10,Big Spenders
O1HLyjFP,16.97,33,3,2,2,3,232,7,Other
qJgIVJmw,3.99,35,1,2,1,1,211,4,Other
mrsbQmW7,8.99,35,1,2,2,1,212,5,Other
32URtyH8,5.970000000000001,34,3,2,2,3,232,7,Other
kUrEKLcB,1.98,33,2,2,1,2,221,5,Other
N63Ght3D,218.92000000000002,23,8,4,4,4,444,12,Champions
FRmP2EnK,0.99,35,1,2,1,1,211,4,Other
Ght3sXL4,56.910000000000004,25,9,4,4,4,444,12,Champions
eTbL6Hki,17.98,33,2,2,3,2,223,7,Other
tVo8piff,8.99,35,1,2,2,1,212,5,Other
hm7gogCS,1.98,35,2,2,1,2,221,5,Other
6N5VpSVe,11.97,30,3,3,2,3,332,8,Other
ToxGkQOF,1.98,34,2,2,1,2,221,5,Other
y6k8U6XQ,8.99,35,1,2,2,1,212,5,Other
bClR8fRY,2.9699999999999998,29,3,3,1,3,331,7,Other
dtImeynV,13.97,28,3,3,2,3,332,8,Other
mVyor2s6,28.93,25,7,4,3,4,443,11,Other
IwLYGRip,54.949999999999996,34,5,2,4,4,244,10,Almost Lost
7oKMwhoN,0.99,35,1,2,1,1,211,4,Other
Ge8GyjsQ,51.980000000000004,29,2,3,4,2,324,9,Big Spenders
vW34pP8K,7.98,33,2,2,2,2,222,6,Other
725uHxYy,16.99,35,1,2,2,1,212,5,Other
1MEQjEJb,16.99,35,1,2,2,1,212,5,Other
w5poRmt3,38.93000000000001,34,7,2,4,4,244,10,Almost Lost
KmmlPgYI,25.979999999999997,23,2,4,3,2,423,9,Recent Customer
dlij3N54,9.98,29,2,3,2,2,322,7,Other
bJgg6jh4,34.97,31,3,3,3,3,333,9,Other
56q3JiXV,21.97,35,3,2,3,3,233,8,Other
1jSIfwk1,8.99,35,1,2,2,1,212,5,Other
1gtt4f4W,3.99,35,1,2,1,1,211,4,Other
RL4c61bT,24.950000000000003,27,5,3,3,4,343,10,Loyal Customers
qBdq8Nkf,6.960000000000001,30,4,3,2,3,332,8,Other
OEHInjYU,3.99,35,1,2,1,1,211,4,Other
mj53h8i6,30.96,32,4,3,3,3,333,9,Other
LwYB6Oqp,18.949999999999996,31,5,3,3,4,343,10,Loyal Customers
3uxR3TwC,20.96,33,4,2,3,3,233,8,Other
F3mWulPh,17.979999999999997,30,2,3,3,2,323,8,Other
OL34YuLH,34.93,33,7,2,3,4,243,9,Loyal Customers
bsOL3EDT,18.950000000000003,34,5,2,3,4,243,9,Loyal Customers
jGXpRu8W,2.9699999999999998,33,3,2,1,3,231,6,Other
JIoun7EQ,0.99,35,1,2,1,1,211,4,Other
BRXrJbxW,0.99,35,1,2,1,1,211,4,Other
Y5oWfG7t,464.91,24,9,4,4,4,444,12,Champions
dxsmcIIQ,16.99,34,1,2,2,1,212,5,Other
UnJqFBUX,14.96,34,4,2,2,3,232,7,Other
SEQdgBuy,1.98,34,2,2,1,2,221,5,Other
FephFWQF,19.94,28,6,3,3,4,343,10,Loyal Customers
X4bJyUCx,50.97,24,3,4,4,3,434,11,Other
ScsKe4mq,42.97,25,3,4,4,3,434,11,Other
Kc5Qhqx1,16.99,34,1,2,2,1,212,5,Other
ximQBu5V,20.96,24,4,4,3,3,433,10,Recent Customer
5BjeKor8,0.99,34,1,2,1,1,211,4,Other
FwoLPB4L,3.99,34,1,2,1,1,211,4,Other
pwWGbmFK,66.87000000000002,22,13,4,4,4,444,12,Champions
TYih8FYc,75.90999999999997,28,9,3,4,4,344,11,Other
nT7oTvwS,29.950000000000003,23,5,4,3,4,443,11,Other
L4yvHWCG,22.96,23,4,4,3,3,433,10,Recent Customer
5hTReffB,4.98,26,2,3,1,2,321,6,Other
eeuQvg73,26.97,34,3,2,3,3,233,8,Other
o6QEpPGm,9.98,34,2,2,2,2,222,6,Other
Siv8RrkC,8.99,34,1,2,2,1,212,5,Other
MeJT7Gxr,16.99,34,1,2,2,1,212,5,Other
GBE4XMyf,7.98,33,2,2,2,2,222,6,Other
ukGvSQ88,16.99,34,1,2,2,1,212,5,Other
HrUXO1Sr,13.97,32,3,3,2,3,332,8,Other
RbvpMtkl,259.96,30,4,3,4,3,334,10,Big Spenders
ofrbmv5e,3.99,34,1,2,1,1,211,4,Other
G1SuV6Mo,4.98,31,2,3,1,2,321,6,Other
4wRxbNLs,11.96,34,4,2,2,3,232,7,Other
EHovPy3X,13.97,31,3,3,2,3,332,8,Other
HqryKU4x,8.99,34,1,2,2,1,212,5,Other
hOSLn5rs,49.93000000000001,23,7,4,4,4,444,12,Champions
H7BHCtYO,8.99,34,1,2,2,1,212,5,Other
UTFLMtR1,3.99,34,1,2,1,1,211,4,Other
4toK8yT7,33.98,32,2,3,3,2,323,8,Other
rvwQDdnI,8.99,34,1,2,2,1,212,5,Other
25vV8reE,12.98,34,2,2,2,2,222,6,Other
Pwbox26C,11.97,23,3,4,2,3,432,9,Recent Customer
vvnY2S4E,10.97,23,3,4,2,3,432,9,Recent Customer
wk8oRGq6,4.98,33,2,2,1,2,221,5,Other
wfgDoYBY,3.99,34,1,2,1,1,211,4,Other
GrkEF2Tt,8.97,28,3,3,2,3,332,8,Other
BW7xMj8G,8.99,34,1,2,2,1,212,5,Other
Jgs38d3U,63.910000000000004,23,9,4,4,4,444,12,Champions
IOBuFf73,1.98,34,2,2,1,2,221,5,Other
Bqqdlj5V,0.99,34,1,2,1,1,211,4,Other
UPj6bnyf,37.95,23,5,4,4,4,444,12,Champions
qn4DkVJU,7.98,29,2,3,2,2,322,7,Other
JhxXoJOB,3.99,34,1,2,1,1,211,4,Other
2CmPndiJ,25.96,32,4,3,3,3,333,9,Other
M4moKFIf,44.92999999999999,22,7,4,4,4,444,12,Champions
rKRmWicP,1.98,33,2,2,1,2,221,5,Other
W1PeiPgN,24.97,23,3,4,3,3,433,10,Recent Customer
FXMHRcC2,63.88000000000002,25,12,4,4,4,444,12,Champions
efEP4tcD,5.970000000000001,28,3,3,2,3,332,8,Other
SnBDsfjV,84.92999999999998,29,7,3,4,4,344,11,Other
jfBvOoUy,23.950000000000003,27,5,3,3,4,343,10,Loyal Customers
hcHFtliF,23.949999999999996,25,5,4,3,4,443,11,Other
YHFvjcS1,83.89,26,11,3,4,4,344,11,Other
L4tue1il,8.99,33,1,2,2,1,212,5,Other
dTIEFCLj,12.98,26,2,3,2,2,322,7,Other
u4hBOTfK,26.97,26,3,3,3,3,333,9,Other
61oddRO1,0.99,33,1,2,1,1,211,4,Other
bUO4TDK7,16.99,33,1,2,2,1,212,5,Other
MY4ljt11,3.99,33,1,2,1,1,211,4,Other
