uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
ebT8prqO,131.76999999999995,23,23,4,4,4,444,12,Champions
DDig5HFm,164.87,27,13,3,4,4,344,11,Other
k4uSvkbN,13.97,42,3,1,2,3,132,6,Other
MFRJDYl2,43.96,51,4,1,4,3,134,8,Big Spenders
KcoyvrDu,22.910000000000004,46,9,1,3,4,143,8,Loyal Customers
jDkwRtpH,0.99,53,1,1,1,1,111,3,Lost Cheap Customers
ES8d4bqC,16.99,53,1,1,2,1,112,4,Other
FJEjFWNU,26.950000000000003,36,5,2,3,4,243,9,Loyal Customers
6rTphPwu,17.98,39,2,2,3,2,223,7,Other
KtMfsl54,7.98,52,2,1,2,2,122,5,Other
r4nWpqD1,10.950000000000001,38,5,2,2,4,242,8,Loyal Customers
lO3dfijv,259.96,33,4,2,4,3,234,9,Big Spenders
dTTw8HGp,50.97,43,3,1,4,3,134,8,Big Spenders
7LdP34sM,5.970000000000001,50,3,1,2,3,132,6,Other
uKuigoRE,3.96,51,4,1,1,3,131,5,Other
wC6mRbKQ,115.85999999999999,22,14,4,4,4,444,12,Champions
RFvRDsXe,3.99,52,1,1,1,1,111,3,Lost Cheap Customers
SSpreGnm,73.94999999999999,52,5,1,4,4,144,9,Lost Customers
7hQ8tjvt,8.99,52,1,1,2,1,112,4,Other
FtPT2E7i,38.96,51,4,1,4,3,134,8,Big Spenders
vYslRI4B,17.94,41,6,1,3,4,143,8,Loyal Customers
3iGxvnEb,4.98,38,2,2,1,2,221,5,Other
yRshUn4J,30.939999999999998,37,6,2,3,4,243,9,Loyal Customers
S3Fkgpip,13.950000000000001,47,5,1,2,4,142,7,Loyal Customers
gIN7i67E,92.80999999999997,38,19,2,4,4,244,10,Almost Lost
8FOrTt7T,33.98,52,2,1,3,2,123,6,Other
YGCDwLsH,3.99,52,1,1,1,1,111,3,Lost Cheap Customers
hqlG6HI3,25.979999999999997,52,2,1,3,2,123,6,Other
BhNRbOek,8.99,52,1,1,2,1,112,4,Other
BMw2cuWR,93.93999999999998,25,6,4,4,4,444,12,Champions
gjNYoB4P,117.68999999999996,50,31,1,4,4,144,9,Lost Customers
3KxgGFBU,25.979999999999997,50,2,1,3,2,123,6,Other
sEgXXOnO,11.940000000000001,45,6,1,2,4,142,7,Loyal Customers
gUB57qdO,42.97,46,3,1,4,3,134,8,Big Spenders
QLXdnOCI,43.959999999999994,49,4,1,4,3,134,8,Big Spenders
g3xvufSE,39.95,33,5,2,4,4,244,10,Almost Lost
3K2HlVgS,0.99,51,1,1,1,1,111,3,Lost Cheap Customers
EkWBYCCX,16.99,51,1,1,2,1,112,4,Other
QJSn3XyS,8.99,51,1,1,2,1,112,4,Other
yPcyLTSx,719.88,32,12,3,4,4,344,11,Other
XXmb7p4Q,146.83000000000004,41,17,1,4,4,144,9,Lost Customers
booSjsS5,44.95,36,5,2,4,4,244,10,Almost Lost
YN5jp1eD,3.99,51,1,1,1,1,111,3,Lost Cheap Customers
